jd,oc
-2433.8105076741467, 0.14549144037780404
426.2839433293957, 0.06320100354191263
1009.5926800472225, 0.03786157024793391
1856.331168831166, 0.04769986506999496
2677.4109155307488, 0.036253622410647224
3758.2360820997164, 0.020805493208090636
3493.3589138134557, 0.041624852420306974
3662.7066115702437, 0.029456906729633997
4001.4020070838233, 0.011826499946334695
4997.564935064929, 0.002329299488390363
4840.076319784108, 0.01983365660313713
5243.28512396694, 0.012359658739528878
5885.937925710648, -0.010511079829261638
5920.675914994095, -0.0016031848099334334
5920.675914994095, 0.013023907910271554
6598.066706021247, -0.020692312737767282
6710.965171192442, -0.014077099848203739
7331.906729634, -0.03275769737417458
8117.064237415474, -0.040203536993309696
8319.768299881933, -0.03161802685950413
8697.978158205427, -0.05141602715466348
9501.170096137626, -0.05782947919427511
9307.629870129866, -0.04131788665879571
10090.39256198347, -0.06735860459886434
10292.925566169364, -0.07629295144053116
10041.469893742618, -0.05600543936582897
11226.903778040138, -0.06718874101105504
11662.369286557594, -0.07473822173497496
11869.556579783846, -0.08303628189991824
12299.439197166466, -0.06845115112160566
12833.535782399416, -0.08219043943069915
13530.032467532466, -0.08971871310507679
14481.036009445095, -0.09705894754596056
15326.529294569063, -0.10504789422225497
15949.822904368353, -0.11583714580873672
17237.40301905886, -0.11898406607822187
18419.200118063753, -0.11728650137741042
18508.85478158205, -0.10900757268299882
19595.502508854777, -0.1189369254933379
20015.61506675143, -0.1293108677037248
22008.707201889018, -0.1288518299881936
23785.197756788664, -0.13071133412042507
26122.860094450996, -0.14839876033057853
27472.398713726463, -0.1472324923879948
28309.852789256198, -0.13696304709900492
29255.377435064933, -0.1306498425816608
30147.35832349468, -0.1233412042502951
31120.801746100784, -0.11230470657162389
30908.86953955135, -0.12345779220779218
31597.012565356723, -0.10140973744869847
32088.03128689492, -0.08845462197734921
32435.686878057, -0.07890481938052668
32846.95985832349, -0.06810304752066115
33460.374852420304, -0.05385797914207008
33016.30755608028, -0.07917650531286896
33936.86427209154, -0.043290232494777925
34392.25760035419, -0.029971721578610777
34822.68299881936, -0.021502712655310063
35161.37839433293, -0.009317699925306622
36039.47756788666, -0.0020710350255804533
37122.246473622065, 0.0011540066222226475
38070.68499682136, -0.007413057721499222
38725.74422330915, -0.014501813121942986
39533.62804550821, -0.01786921755930021
39951.49898802496, -0.007835427559453545
40970.004427390784, -0.0018657270759543376
42161.08323494687, 0.0037183374476762454
43402.96635182997, 0.008999476762906577
44671.73005565863, 0.011647024512284304
44376.71561393152, -0.0006532707349468647
45886.732585596204, 0.01602883170548461
47050.455226591585, 0.014617995640722914
47432.573108709475, 0.0090039505948597
48549.25472255018, 0.007793717263075983
48724.24734356552, -0.0006242621015348504
49480.667060212516, -0.006553522235340448
50163.59208972844, -0.016418240850059024
50459.12042502951, -0.0055729781582053994
51258.8178866588, -0.016894185360094433
51465.79840613931, -0.023130481531455555
52676.76884803508, -0.01822626777983921
53036.968713105074, -0.020845631641086187
53882.600354191265, -0.012792207792207744
54862.16056670602, -0.004242030696576193
54749.26210153483, -0.013319067296340026
55752.80401416765, 0.007441706021251465
55539.55135773317, -0.0022173848878394298
56354.929161747335, 0.017372589531680444
57104.734624879246, 0.030851601910486248
56988.414994096805, 0.019170602125147568
57676.55801990218, 0.04079155422499578
58112.02352841964, 0.04969798869961206
58750.101461038954, 0.05599588621605667
59378.09917355371, 0.054231847697756796
